Step,Address,User,Initial Balance,Create Contribution,Assign Contribution,Update Coordinates,Review Contribution,Final Balance,Contract Initial Balance,Contract Final Balance
1,0xC2cbFCeb8E124BCA3694A233ACFc7112661417E8,Participant,10000000000000000000,9999539531007155986,9999539531007155986,9999241888643289562,9999241888643289562,10009312133900572468,10000000000000000000,9989179120323338198
1,0x8b610b4d4E5A504607AFB358259EfD4468911b36,Reviewer,10000000000000000000,10000000000000000000,9999567221088407016,9999567221088407016,9999341617274209260,9999961932722542553,10000000000000000000,9989179120323338198
2,0xC2cbFCeb8E124BCA3694A233ACFc7112661417E8,Participant,10009312133900572468,10008965334066228730,10008965334066228730,10008710742292649380,10008710742292649380,10018981301014050356,9989179120323338198,9978181930330093460
2,0x8b610b4d4E5A504607AFB358259EfD4468911b36,Reviewer,9999961932722542553,9999961932722542553,9999618209365902265,9999618209365902265,9999480510124559455,10000090719082097979,9989179120323338198,9978181930330093460
3,0xC2cbFCeb8E124BCA3694A233ACFc7112661417E8,Participant,10018981301014050356,10018667763348415940,10018667763348415940,10018432749890708264,10018432749890708264,10028783467615292897,9978181930330093460,9967115880608998323
3,0x8b610b4d4E5A504607AFB358259EfD4468911b36,Reviewer,10000090719082097979,10000090719082097979,9999776558192832131,9999776558192832131,9999648793795384781,10000254037859573385,9978181930330093460,9967115880608998323
4,0xC2cbFCeb8E124BCA3694A233ACFc7112661417E8,Participant,10028783467615292897,10028485059039535703,10028485059039535703,10028258944603649303,10028258944603649303,10038650170526558590,9967115880608998323,9956014673329633196
4,0x8b610b4d4E5A504607AFB358259EfD4468911b36,Reviewer,10000254037859573385,10000254037859573385,9999953323273815393,9999953323273815393,9999829663285306433,10000432437837185043,9967115880608998323,9956014673329633196
5,0xC2cbFCeb8E124BCA3694A233ACFc7112661417E8,Participant,10038650170526558590,10038358643259862264,10038358643259862264,10038136582317619231,10038136582317619231,10048555429083824636,9956014673329633196,9944888387276619626
5,0x8b610b4d4E5A504607AFB358259EfD4468911b36,Reviewer,10000432437837185043,10000432437837185043,10000137839162740291,10000137839162740291,10000015953463572571,10000617496399266613,9956014673329633196,9944888387276619626
6,0xC2cbFCeb8E124BCA3694A233ACFc7112661417E8,Participant,10048555429083824636,10048267031714821208,10048267031714821208,10048046814465505088,10048046814465505088,10058487951722454688,9944888387276619626,9933741020824177556
6,0x8b610b4d4E5A504607AFB358259EfD4468911b36,Reviewer,10000617496399266613,10000617496399266613,10000325679488701405,10000325679488701405,10000204707932424185,10000805636826048522,9944888387276619626,9933741020824177556
7,0xC2cbFCeb8E124BCA3694A233ACFc7112661417E8,Participant,10058487951722454688,10058200977962401726,10058200977962401726,10057981599302002732,10057981599302002732,10068441872689685993,9933741020824177556,9922575094818214227
7,0x8b610b4d4E5A504607AFB358259EfD4468911b36,Reviewer,10000805636826048522,10000805636826048522,10000515085178595026,10000515085178595026,10000394492817502871,10000995116241878508,9933741020824177556,9922575094818214227
8,0xC2cbFCeb8E124BCA3694A233ACFc7112661417E8,Participant,10068441872689685993,10068155546446118885,10068155546446118885,10067936549210879987,10067936549210879987,10078413594173601031,9922575094818214227,9911392671770674524
8,0x8b610b4d4E5A504607AFB358259EfD4468911b36,Reviewer,10000995116241878508,10000995116241878508,10000705140088734340,10000705140088734340,10000585032025314655,10001185504227753092,9922575094818214227,9911392671770674524
9,0xC2cbFCeb8E124BCA3694A233ACFc7112661417E8,Participant,10078413594173601031,10078127562448225153,10078127562448225153,10077908738701533547,10077908738701533547,10088400604340629034,9911392671770674524,9900195558240823728
9,0x8b610b4d4E5A504607AFB358259EfD4468911b36,Reviewer,10001185504227753092,10001185504227753092,10000895789833997164,10000895789833997164,10000775540083808584,10001375938179185969,9911392671770674524,9900195558240823728
10,0xC2cbFCeb8E124BCA3694A233ACFc7112661417E8,Participant,10088400604340629034,10088114706574011224,10088114706574011224,10087895961736762052,10087895961736762052,10098400981351695821,9900195558240823728,9888985351797857890
10,0x8b610b4d4E5A504607AFB358259EfD4468911b36,Reviewer,10001375938179185969,10001375938179185969,10001086342844133993,10001086342844133993,10000966156125136473,10001566518668412863,9900195558240823728,9888985351797857890
