Step,Address,User,Initial Balance,Create Contribution,Assign Contribution,Update Coordinates,Review Contribution,Final Balance,Contract Initial Balance,Contract Final Balance
1,0xa4496Ed6c021eD667C23F30a062838667Cbbc4D2,Participant,10000000000000000000,9999539531007155986,9999539531007155986,9999241888643289562,9999241888643289562,9999120529999063272,10000000000000000000,9999379684551666707
1,0xd1e3e2CEaD20340B9063631f9934d458923A1a7d,Reviewer,10000000000000000000,10000000000000000000,9999567221088407016,9999567221088407016,9999394316054197068,10000014631502530361,10000000000000000000,9999379684551666707
2,0xa4496Ed6c021eD667C23F30a062838667Cbbc4D2,Participant,9999120529999063272,9998773757560451280,9998773757560451280,9998519228192102205,9998519228192102205,9998410833520433943,9999379684551666707,9998769475594128183
2,0xd1e3e2CEaD20340B9063631f9934d458923A1a7d,Reviewer,10000014631502530361,10000014631502530361,9999831948503601128,9999831948503601128,9999701012133714591,10000311221091253115,9999379684551666707,9998769475594128183
3,0xa4496Ed6c021eD667C23F30a062838667Cbbc4D2,Participant,9998410833520433943,9998097347497758657,9998097347497758657,9997862398370015037,9997862398370015037,9997759898729041867,9998769475594128183,9998164231529939579
3,0xd1e3e2CEaD20340B9063631f9934d458923A1a7d,Reviewer,10000311221091253115,10000311221091253115,10000144262598079097,10000144262598079097,10000022793526725450,10000628037590914054,9998769475594128183,9998164231529939579
4,0xa4496Ed6c021eD667C23F30a062838667Cbbc4D2,Participant,9997759898729041867,9997461531440502307,9997461531440502307,9997235463277812064,9997235463277812064,9997135641141989648,9998164231529939579,9997561456978060969
4,0xd1e3e2CEaD20340B9063631f9934d458923A1a7d,Reviewer,10000628037590914054,10000628037590914054,10000468221189048298,10000468221189048298,10000350612447251563,10000953386999130173,9998164231529939579,9997561456978060969
5,0xa4496Ed6c021eD667C23F30a062838667Cbbc4D2,Participant,9997135641141989648,9996844140736891034,9996844140736891034,9996622112138049320,9996622112138049320,9996523506119304212,9997561456978060969,9996959914042366927
5,0xd1e3e2CEaD20340B9063631f9934d458923A1a7d,Reviewer,10000953386999130173,10000953386999130173,10000796814513536738,10000796814513536738,10000680827864150966,10001282370799845008,9997561456978060969,9996959914042366927
6,0xa4496Ed6c021eD667C23F30a062838667Cbbc4D2,Participant,9996523506119304212,9996235124637716096,9996235124637716096,9996014930800199270,9996014930800199270,9995916877141925888,9996959914042366927,9996358985148742590
6,0xd1e3e2CEaD20340B9063631f9934d458923A1a7d,Reviewer,10001282370799845008,10001282370799845008,10001127271694080727,10001127271694080727,10001012227635289879,10001613156528914216,9996959914042366927,9996358985148742590
7,0xa4496Ed6c021eD667C23F30a062838667Cbbc4D2,Participant,9995916877141925888,9995629912275819032,9995629912275819032,9995410551786985886,9995410551786985886,9995312749010582890,9996358985148742590,9995758361724366953
7,0xd1e3e2CEaD20340B9063631f9934d458923A1a7d,Reviewer,10001613156528914216,10001613156528914216,10001458726632368108,10001458726632368108,10001344164944023836,10001944788368399473,9996358985148742590,9995758361724366953
8,0xa4496Ed6c021eD667C23F30a062838667Cbbc4D2,Participant,9995312749010582890,9995026427570506870,9995026427570506870,9994807445588346715,9994807445588346715,9994709756762210149,9995758361724366953,9995157889521928516
8,0xd1e3e2CEaD20340B9063631f9934d458923A1a7d,Reviewer,10001944788368399473,10001944788368399473,10001790662426422645,10001790662426422645,10001676349227322237,10002276821429760674,9995758361724366953,9995157889521928516
9,0xa4496Ed6c021eD667C23F30a062838667Cbbc4D2,Participant,9994709756762210149,9994423727565468799,9994423727565468799,9994204953524169370,9994204953524169370,9994107316454082884,9995157889521928516,9994557491426551131
9,0xd1e3e2CEaD20340B9063631f9934d458923A1a7d,Reviewer,10002276821429760674,10002276821429760674,10002122833543562684,10002122833543562684,10002008574034004898,10002608972129382283,9995157889521928516,9994557491426551131
10,0xa4496Ed6c021eD667C23F30a062838667Cbbc4D2,Participant,9994107316454082884,9993821419993792880,9993821419993792880,9993602712020527142,9993602712020527142,9993505098457907436,9994557491426551131,9993957128883274741
10,0xd1e3e2CEaD20340B9063631f9934d458923A1a7d,Reviewer,10002608972129382283,10002608972129382283,10002455046947816650,10002455046947816650,10002340823193199622,10002941185736476012,9994557491426551131,9993957128883274741
