Step,Address,User,Initial Balance,Create Contribution,Assign Contribution,Update Coordinates,Review Contribution,Final Balance,Contract Initial Balance,Contract Final Balance
1,0x8B6C5ED98066cba849fE79Ceed0F624AC0E98596,Participant,10000000000000000000,9999539531007155986,9999539531007155986,9999241888643289562,9999241888643289562,10006332832233810943,10000000000000000000,9992158421935509864
1,0xdFEdee4eDbb4b4FFAad8984eecB97f192C79F03e,Reviewer,10000000000000000000,10000000000000000000,9999567221088407016,9999567221088407016,9999341321021323560,9999961636469656853,10000000000000000000,9992158421935509864
2,0x8B6C5ED98066cba849fE79Ceed0F624AC0E98596,Participant,10006332832233810943,10005986032268863003,10005986032268863003,10005731412474036844,10005731412474036844,10012878308127389834,9992158421935509864,9984284895004968159
2,0xdFEdee4eDbb4b4FFAad8984eecB97f192C79F03e,Reviewer,9999961636469656853,9999961636469656853,9999617912996928669,9999617912996928669,9999480442536417404,10000090651493955928,9992158421935509864,9984284895004968159
3,0x8B6C5ED98066cba849fE79Ceed0F624AC0E98596,Participant,10012878308127389834,10012564770448895048,10012564770448895048,10012329769880594783,10012329769880594783,10019510285285452975,9984284895004968159,9976389047601608206
3,0xdFEdee4eDbb4b4FFAad8984eecB97f192C79F03e,Reviewer,10000090651493955928,10000090651493955928,9999776490593110240,9999776490593110240,9999648726192785170,10000253970256973774,9984284895004968159,9976389047601608206
4,0x8B6C5ED98066cba849fE79Ceed0F624AC0E98596,Participant,10019510285285452975,10019211876704837419,10019211876704837419,10018985774674346215,10018985774674346215,10026189040600876357,9976389047601608206,9968475800316840573
4,0xdFEdee4eDbb4b4FFAad8984eecB97f192C79F03e,Reviewer,10000253970256973774,10000253970256973774,9999953255667162838,9999953255667162838,9999829544187024738,10000432318738903348,9976389047601608206,9968475800316840573
5,0x8B6C5ED98066cba849fE79Ceed0F624AC0E98596,Participant,10026189040600876357,10025897513329893241,10025897513329893241,10025675452385244739,10025675452385244739,10032896163272807906,9968475800316840573,9960547650141840423
5,0xdFEdee4eDbb4b4FFAad8984eecB97f192C79F03e,Reviewer,10000432318738903348,10000432318738903348,10000137720060695148,10000137720060695148,10000015859699333728,10000617402635027770,9968475800316840573,9960547650141840423
6,0x8B6C5ED98066cba849fE79Ceed0F624AC0E98596,Participant,10032896163272807906,10032607765902375548,10032607765902375548,10032387560736596120,10032387560736596120,10039623079657265101,9960547650141840423,9952605902025888578
6,0xdFEdee4eDbb4b4FFAad8984eecB97f192C79F03e,Reviewer,10000617402635027770,10000617402635027770,10000325585723304578,10000325585723304578,10000204714783448368,10000805643677072705,9960547650141840423,9952605902025888578
7,0x8B6C5ED98066cba849fE79Ceed0F624AC0E98596,Participant,10039623079657265101,10039336105897783711,10039336105897783711,10039116727237822075,10039116727237822075,10046365686057342541,9952605902025888578,9944651290588402453
7,0xdFEdee4eDbb4b4FFAad8984eecB97f192C79F03e,Reviewer,10000805643677072705,10000805643677072705,10000515092030198201,10000515092030198201,10000394574879749981,10000995198304125618,9952605902025888578,9944651290588402453
8,0x8B6C5ED98066cba849fE79Ceed0F624AC0E98596,Participant,10046365686057342541,10046079359814632791,10046079359814632791,10045860362579831251,10045860362579831251,10053121990896581351,9944651290588402453,9936684284186833694
8,0xdFEdee4eDbb4b4FFAad8984eecB97f192C79F03e,Reviewer,10000995198304125618,10000995198304125618,10000705222151560442,10000705222151560442,10000584988928880042,10001185461131318479,9944651290588402453,9936684284186833694
9,0x8B6C5ED98066cba849fE79Ceed0F624AC0E98596,Participant,10053121990896581351,10052835959171205473,10052835959171205473,10052617135424513867,10052617135424513867,10059890941479334883,9936684284186833694,9928705230241257369
9,0xdFEdee4eDbb4b4FFAad8984eecB97f192C79F03e,Reviewer,10001185461131318479,10001185461131318479,10000895746737562551,10000895746737562551,10000775547016393021,10001375945111770406,9936684284186833694,9928705230241257369
10,0x8B6C5ED98066cba849fE79Ceed0F624AC0E98596,Participant,10059890941479334883,10059605043712717073,10059605043712717073,10059386322882693533,10059386322882693533,10066671943190237927,9928705230241257369,9920714423105680906
10,0xdFEdee4eDbb4b4FFAad8984eecB97f192C79F03e,Reviewer,10001375945111770406,10001375945111770406,10001086349776718430,10001086349776718430,10000966238077519710,10001566600620796100,9928705230241257369,9920714423105680906
