Step,Create Contribution On-Chain,Create Contribution Off-Chain,Assign Contribution On-Chain,Assign Contribution Off-Chain,Update Coordinates On-Chain,Update Coordinates Off-Chain,Review Contribution On-Chain,Review Contribution Off-Chain,ZKP Contracts On-Chain,ZKP Contracts Off-Chain,Total Time
1,37,1,27,1,15,62,33,1,32,4523,4738
2,15,0,18,0,15,7,53,1,45,4139,4302
3,26,0,21,0,18,12,129,3,36,4559,4829
4,33,0,25,0,19,13,72,8,23,3610,3862
5,19,0,18,0,14,10,23,3,67,3408,3565
6,22,1,24,0,26,24,26,3,19,3403,3558
7,19,0,27,0,13,13,28,4,27,3532,3670
8,16,0,18,0,14,9,22,3,27,3800,3916
9,24,1,27,0,19,16,25,5,21,3433,3581
10,14,1,26,0,14,11,43,7,21,3432,3580
11,24,0,20,0,13,9,78,4,21,3213,3388
12,31,0,18,0,19,17,24,5,23,3179,3324
13,18,0,28,0,13,10,20,6,92,2930,3122
14,17,0,21,0,12,10,25,5,22,3175,3291
15,23,0,20,0,12,12,26,8,24,3223,3352
16,22,0,24,0,29,13,26,10,23,3279,3430
17,17,0,23,0,19,14,27,11,21,3347,3483
18,20,0,24,0,11,11,25,7,23,2937,3061
19,23,0,19,0,13,14,26,7,28,3015,3151
20,15,0,21,0,14,12,23,9,21,3089,3207
21,20,0,20,0,11,13,24,9,38,2977,3116
22,15,0,17,0,10,13,22,9,21,2978,3090
23,17,0,18,0,70,15,22,13,21,2911,3090
24,17,0,18,0,13,16,25,10,96,2953,3153
25,17,0,19,0,11,16,22,12,21,2981,3108
26,17,1,20,0,13,15,23,10,87,3459,3651
27,18,0,20,0,14,17,27,11,22,2936,3070
28,16,0,17,0,13,15,24,10,27,3126,3252
29,16,1,17,0,13,15,24,13,115,3766,3983
30,22,0,24,0,15,28,31,15,22,3547,3717
31,13,0,19,0,15,16,26,14,156,3370,3630
32,16,0,16,0,14,19,23,13,20,3110,3238
33,18,1,20,0,13,19,22,13,72,3340,3523
34,17,0,18,0,13,17,21,12,108,2935,3144
35,23,0,21,0,14,37,22,15,33,7617,7786
36,167,0,27,0,16,33,30,24,25,3862,4196
37,25,0,28,0,22,24,36,16,80,3272,3511
38,16,1,17,0,18,20,26,15,26,3445,3586
39,21,0,24,0,13,25,24,15,20,3314,3462
40,18,0,25,0,69,23,25,16,34,3609,3832
41,21,0,25,0,15,23,31,18,127,3524,3788
42,16,0,24,0,17,25,28,18,80,4004,4215
43,20,0,19,0,17,21,24,18,90,3371,3582
44,28,0,19,0,20,27,25,20,41,3151,3337
45,18,0,21,0,16,30,85,22,22,3187,3406
46,21,0,25,0,18,34,28,31,114,3076,3353
47,14,0,18,0,14,23,32,19,23,3021,3218
48,14,0,18,0,13,26,65,19,20,3261,3440
49,20,0,28,0,17,32,28,37,84,3898,4151
50,14,0,19,0,13,25,24,20,84,3065,3268
51,14,0,18,0,14,28,20,18,108,2967,3192
52,14,0,19,0,11,23,73,21,20,3229,3425
53,16,0,21,0,12,26,36,19,42,3954,4158
54,17,1,26,0,25,34,123,22,20,3845,4121
55,16,0,18,0,24,120,31,29,117,4390,4749
56,55,0,24,0,22,45,124,22,23,4304,4622
57,26,0,29,0,23,60,155,52,39,4521,4914
58,23,1,34,0,25,61,138,28,24,3806,4156
59,27,0,24,0,15,30,86,26,20,3236,3469
60,16,0,18,0,13,27,80,22,23,3321,3522
61,15,0,24,0,15,39,23,22,28,3062,3237
62,17,0,18,0,13,30,84,23,27,2996,3213
63,15,0,17,0,14,28,80,23,19,3009,3212
64,16,0,20,0,16,30,60,26,19,3324,3555
65,18,0,19,0,14,31,83,30,31,3450,3680
66,18,1,28,0,16,39,91,42,19,3552,3815
67,18,0,25,0,19,33,79,38,21,3000,3234
68,13,1,19,0,12,30,119,30,37,4148,4420
69,15,0,20,0,17,38,85,35,30,3698,3947
70,53,1,25,0,20,42,80,37,42,4199,4513
71,12,1,22,0,16,34,78,24,35,4394,4618
72,16,0,21,0,14,39,101,29,19,4194,4441
73,16,0,19,0,16,41,37,52,27,3158,3382
74,15,0,17,0,14,32,83,27,27,3122,3340
75,23,0,27,0,34,51,35,48,28,3137,3389
76,15,0,19,0,16,37,81,29,21,3217,3438
77,14,1,17,0,14,65,90,34,20,3029,3285
78,15,0,18,0,13,36,78,28,23,2969,3183
79,16,0,21,0,13,43,79,31,21,3834,4060
80,15,0,18,0,13,33,73,29,23,3049,3255
81,14,0,20,0,15,37,83,30,26,3169,3401
82,19,0,27,0,30,38,24,35,21,3024,3265
83,13,0,17,0,27,39,23,49,24,3762,3980
84,16,0,29,0,115,92,44,37,29,11505,11876
85,88,0,52,0,43,138,112,233,39,16192,16950
86,27,0,49,0,148,92,56,63,41,5920,6414
87,19,0,30,0,56,81,40,54,21,4663,5054
88,16,0,23,0,19,40,81,37,37,4929,5188
89,113,3,39,0,89,57,26,39,25,3577,3977
90,15,0,24,0,81,43,25,34,27,3482,3733
91,21,0,27,0,122,45,26,44,26,3219,3538
92,14,0,21,0,14,39,31,56,31,3349,3562
93,21,0,25,0,89,56,28,41,22,3610,3899
94,30,1,30,0,77,47,25,35,27,3376,3659
95,17,0,20,0,83,45,24,40,24,3941,4201
96,53,0,29,0,104,55,25,46,33,3573,3925
97,22,0,36,0,48,68,24,40,26,2991,3299
98,17,1,18,0,25,45,66,46,26,3127,3480
99,16,0,18,0,13,41,90,38,23,3222,3464
100,14,0,20,0,15,43,21,35,21,3069,3245
101,14,0,19,0,72,41,24,37,20,3140,3371
102,16,0,22,0,14,47,23,39,24,2980,3168
103,15,0,20,0,77,43,23,34,24,3062,3302
104,15,0,17,0,14,40,24,43,23,3261,3444
105,14,1,17,0,79,40,24,39,21,3328,3569
106,16,0,19,0,83,50,51,45,37,3706,4010
107,22,0,18,0,95,56,29,68,21,3492,3808
