verifyLatDegree,verifyLatMinute,verifyLongDegree,verifyLongMinute,verificationResult
-23,13,18,19,-1
-23,0,18,24,0
-23,12,18,24,0
-23,3,18,22,-1
-23,6,18,12,0
-23,6,18,26,-1
-23,0,18,12,0
-23,15,18,20,-1
-23,10,18,13,-1
-23,0,18,24,0
-23,6,18,12,0
-23,12,18,24,0
-23,7,18,16,-1
-23,0,18,24,0
-23,6,18,17,-1
-23,0,18,24,0
-23,12,18,12,0
-23,6,18,24,0
-23,4,18,12,-1
-23,6,18,18,1
-23,12,18,24,0
-23,12,18,24,0
-23,12,18,24,0
-23,0,18,19,-1
-23,12,18,18,0
-23,6,18,24,0
-23,12,18,24,0
-23,0,18,18,0
-23,1,18,22,-1
-23,9,18,15,-1
-23,12,18,24,0
-23,6,18,24,0
-23,7,18,19,-1
-23,6,18,24,0
-23,0,18,26,-1
-23,6,18,12,0
-23,9,18,17,-1
-23,12,18,12,0
-23,16,18,18,-1
-23,0,18,27,-1
-23,8,18,23,-1
-23,6,18,18,1
-23,15,18,17,-1
-23,0,18,18,0
-23,8,18,18,-1
-23,6,18,12,0
-23,0,18,27,-1
-23,6,18,24,0
-23,0,18,24,0
-23,6,18,12,0
-23,16,18,24,-1
-23,0,18,18,0
-23,12,18,12,0
-23,6,18,18,1
-23,17,18,29,-1
-23,0,18,24,0
-23,0,18,24,0
-23,14,18,12,-1
-23,6,18,18,1
-23,11,18,15,-1
-23,13,18,12,-1
-23,12,18,12,0
-23,0,18,12,0
-23,15,18,28,-1
-23,3,18,20,-1
-23,12,18,12,0
-23,13,18,17,-1
-23,12,18,18,0
-23,6,18,24,0
-23,0,18,18,0
-23,10,18,24,-1
-23,6,18,12,0
-23,16,18,24,-1
-23,12,18,12,0
-23,13,18,25,-1
-23,14,18,12,-1
-23,6,18,24,0
-23,0,18,18,0
-23,12,18,24,0
-23,7,18,23,-1
-23,0,18,18,0
-23,7,18,26,-1
-23,12,18,24,0
-23,0,18,12,0
-23,4,18,16,-1
-23,6,18,12,0
-23,6,18,18,1
-23,0,18,12,0
-23,6,18,12,0
-23,0,18,18,0
-23,12,18,24,0
-23,15,18,19,-1
-23,1,18,17,-1
-23,12,18,24,0
-23,6,18,24,0
-23,0,18,12,0
-23,0,18,24,0
-23,0,18,12,0
-23,12,18,12,0
-23,0,18,12,0
-23,6,18,12,0
-23,6,18,12,0
-23,6,18,18,1
-23,12,18,25,-1
-23,6,18,12,0
-23,4,18,20,-1
-23,0,18,18,0
-23,2,18,14,-1
-23,12,18,12,0
-23,9,18,17,-1
-23,4,18,29,-1
-23,12,18,12,0
-23,9,18,19,-1
-23,10,18,16,-1
-23,2,18,17,-1
-23,12,18,12,0
-23,12,18,18,0
-23,12,18,24,0
-23,6,18,26,-1
-23,6,18,24,0
-23,6,18,12,0
-23,15,18,29,-1
-23,0,18,12,0
-23,5,18,15,-1
-23,13,18,21,-1
-23,10,18,27,-1
-23,13,18,14,-1
-23,8,18,27,-1
-23,6,18,18,1
-23,4,18,20,-1
-23,6,18,12,0
-23,0,18,24,0
-23,6,18,24,0
-23,6,18,12,0
-23,12,18,18,0
-23,0,18,12,0
-23,0,18,18,0
-23,12,18,12,0
-23,13,18,25,-1
-23,0,18,24,0
-23,13,18,29,-1
-23,16,18,17,-1
-23,0,18,25,-1
-23,12,18,12,0
-23,6,18,18,1
-23,16,18,21,-1
-23,13,18,23,-1
-23,12,18,24,0
-23,12,18,24,0
-23,12,18,21,-1
-23,12,18,28,-1
-23,0,18,18,0
-23,7,18,22,-1
-23,15,18,14,-1
-23,5,18,19,-1
-23,0,18,24,0
-23,6,18,12,0
-23,0,18,12,0
-23,8,18,13,-1
-23,0,18,18,0
-23,5,18,24,-1
-23,0,18,24,0
-23,10,18,18,-1
-23,0,18,12,0
-23,6,18,12,0
-23,6,18,24,0
-23,6,18,26,-1
-23,0,18,24,0
-23,17,18,16,-1
-23,12,18,12,0
-23,7,18,17,-1
-23,9,18,13,-1
-23,3,18,29,-1
-23,4,18,12,-1
-23,3,18,23,-1
-23,0,18,24,0
-23,10,18,26,-1
-23,12,18,12,0
-23,10,18,23,-1
-23,0,18,18,0
-23,16,18,28,-1
-23,6,18,18,1
-23,4,18,26,-1
-23,0,18,18,0
-23,6,18,18,1
-23,4,18,23,-1
-23,1,18,24,-1
-23,12,18,12,0
-23,6,18,13,-1
-23,4,18,12,-1
-23,8,18,27,-1
-23,11,18,27,-1
-23,5,18,26,-1
