Step,Create Contribution On-Chain,Create Contribution Off-Chain,Assign Contribution On-Chain,Assign Contribution Off-Chain,Update Coordinates On-Chain,Update Coordinates Off-Chain,Review Contribution On-Chain,Review Contribution Off-Chain,ZKP Contracts On-Chain,ZKP Contracts Off-Chain,Total Time
1,39,1,26,0,12,51,32,1,24,3316,3552
2,15,0,30,0,16,8,20,1,22,2827,2940
3,31,0,46,0,17,8,24,2,16,2854,3006
4,52,0,37,0,15,7,19,2,17,2812,2965
5,14,0,30,0,52,13,19,4,32,2942,3117
6,29,0,20,0,12,9,68,3,18,2874,3036
7,19,1,41,0,18,13,21,5,18,2965,3136
8,14,0,22,0,12,8,22,3,35,3270,3390
9,16,0,31,0,24,10,88,4,21,3511,3708
10,14,0,26,0,11,9,19,4,25,3474,3587
11,28,0,36,0,33,26,29,8,23,3603,3796
12,15,0,29,0,14,14,19,4,28,2838,2971
13,43,0,19,0,12,10,18,4,15,2834,2958
14,18,1,20,0,13,9,18,5,16,2777,2882
15,77,0,20,0,14,10,18,5,17,2842,3013
16,22,0,32,0,16,18,27,6,18,3309,3456
17,13,0,27,0,11,11,21,6,23,2917,3038
18,16,0,23,0,12,13,19,7,21,3022,3211
19,16,0,23,0,13,12,17,8,21,2740,2867
20,12,1,21,0,16,18,20,9,18,2817,2933
21,17,0,22,0,11,12,20,10,20,2823,2948
22,14,1,20,0,11,15,20,8,18,3205,3317
23,15,0,26,0,11,13,22,9,23,3342,3470
24,14,0,18,0,16,17,31,11,26,3617,3761
25,48,0,19,0,16,20,23,9,18,3206,3385
26,31,0,22,0,13,16,20,10,24,2978,3124
27,89,0,18,0,13,19,42,10,169,12897,13262
28,25,0,39,0,127,47,62,28,21,4506,4867
29,39,0,33,0,14,16,19,13,33,3518,3691
30,16,1,22,0,16,16,22,12,22,3156,3287
31,14,0,21,0,13,17,22,12,23,2986,3117
32,15,0,21,0,13,16,18,12,26,3144,3267
33,19,1,24,0,12,20,24,12,21,4246,4386
34,21,0,31,0,12,18,28,12,90,3819,4045
35,12,0,24,0,13,18,23,15,22,3079,3212
36,19,0,23,0,17,25,23,14,22,2928,3076
37,19,0,27,0,20,20,24,17,19,2835,2993
38,25,0,20,0,18,20,23,16,77,2798,3001
39,49,0,19,0,13,25,26,13,32,2878,3084
40,19,1,19,0,13,19,39,19,24,2811,2969
41,13,1,26,0,12,19,27,15,86,2878,3118
42,34,0,26,0,11,23,29,16,25,2851,3023
43,42,0,25,0,18,31,25,28,18,2750,2943
44,21,1,37,0,15,43,28,23,44,2795,3010
45,14,0,27,0,17,23,30,20,21,2799,2958
46,16,0,24,0,13,21,25,33,71,2826,3034
47,13,0,26,0,24,30,26,23,19,2730,2960
48,15,0,24,0,12,25,28,18,24,2793,2940
49,16,0,23,0,11,23,18,18,74,2910,3105
50,17,0,23,0,17,25,26,28,29,2807,2984
51,24,1,20,0,11,24,30,29,20,2803,2969
52,18,0,20,0,11,24,19,19,110,2839,3067
53,19,0,28,0,18,33,28,23,20,2961,3138
54,18,0,24,0,14,33,20,40,19,2707,2887
55,19,0,22,0,21,37,23,34,19,2856,3041
56,20,0,28,0,16,42,28,29,19,2886,3078
57,29,0,27,0,13,34,21,40,33,2925,3131
58,18,1,29,0,12,31,19,21,80,2869,3089
59,13,0,22,0,14,32,26,26,20,2764,2969
60,20,0,24,0,18,31,19,25,78,2820,3042
61,14,0,25,0,12,32,27,23,18,2930,3138
62,15,0,24,0,11,27,19,27,187,3155,3479
63,22,1,24,0,17,38,28,25,18,3341,3541
64,15,1,20,0,12,27,21,23,83,2996,3204
65,20,0,18,0,11,28,18,29,78,2867,3081
66,16,0,25,0,14,29,22,26,79,2829,3048
67,12,0,21,0,13,28,18,23,84,2852,3063
68,17,0,21,0,11,30,22,30,77,2852,3071
69,17,0,18,0,11,28,20,29,84,2847,3063
70,16,0,21,0,12,30,21,30,82,2871,3088
71,19,0,20,0,20,40,20,29,69,2828,3049
72,14,0,30,0,13,32,35,29,17,2937,3130
73,21,0,26,0,13,39,33,30,19,2813,3002
74,14,0,32,0,14,41,31,31,20,2831,3032
75,14,1,21,0,12,31,18,31,78,2827,3041
76,17,0,25,0,12,31,22,28,103,2832,3081
77,16,0,18,0,16,33,71,25,25,2806,3014
78,22,0,23,0,13,33,39,30,18,2888,3105
79,17,0,28,0,16,39,23,28,18,2866,3051
80,16,0,28,0,17,39,19,29,70,2816,3039
81,13,0,26,0,12,38,19,28,89,2916,3144
82,12,0,26,0,14,36,23,30,98,3265,3506
83,25,0,32,0,39,124,83,60,15,4077,4464
84,16,0,19,0,18,36,22,35,16,3201,3424
85,13,0,25,0,18,38,26,31,20,2858,3045
86,19,0,27,0,18,37,25,47,74,2877,3131
87,22,0,22,0,20,53,23,32,22,3209,3414
88,13,0,27,0,10,46,23,32,78,2911,3148
89,13,0,21,0,17,36,28,33,19,2849,3069
90,18,0,27,0,17,38,37,34,19,2888,3130
91,23,0,29,0,15,44,71,32,17,2975,3265
92,19,0,31,0,16,48,39,32,20,2826,3043
93,19,0,26,0,14,50,33,33,23,2809,3059
94,17,0,30,0,13,49,40,39,19,2820,3035
95,13,0,23,0,14,45,26,35,17,2813,2998
96,34,0,26,0,13,47,75,39,17,2763,3019
97,16,0,26,0,14,51,69,40,18,2880,3123
98,19,0,27,0,12,45,73,35,26,2832,3080
99,16,0,26,0,15,43,36,40,23,2899,3138
100,12,0,36,0,15,44,69,37,20,2906,3147
