Step,Create Contribution On-Chain,Create Contribution Off-Chain,Assign Contribution On-Chain,Assign Contribution Off-Chain,Update Coordinates On-Chain,Update Coordinates Off-Chain,Review Contribution On-Chain,Review Contribution Off-Chain,ZKP Contracts On-Chain,ZKP Contracts Off-Chain,Total Time,Participant Reputation,Reputation x
1,37,1,29,0,16,61,56,2,34,9019,9265,0.46211715726000974,1.01
2,17,0,45,0,41,134,51,3,27,5425,5751,0.6267579404817551,1.4821171572600098
3,21,0,27,0,13,8,34,4,31,4378,4526,0.6769047905039998,1.6567579404817552
4,15,0,21,0,17,9,28,4,32,3629,3762,0.6928687804509325,1.7169047905039998
5,15,1,17,0,11,12,25,4,25,3463,3579,0.6995580020198406,1.7428687804509324
6,33,0,42,0,45,30,54,16,29,3940,4205,0.7037940888653382,1.7595580020198405
7,13,1,26,0,12,13,27,13,49,3291,3452,0.7073684130287292,1.773794088865338
8,18,0,18,0,18,11,34,10,27,3255,3398,0.7107432279442151,1.787368413028729
9,42,0,22,0,16,18,23,11,108,3036,3286,0.7140367485302335,1.800743227944215
10,25,0,32,0,22,18,24,14,25,3219,3381,0.717279231527177,1.8140367485302333
11,20,0,24,0,12,16,28,14,37,3514,3672,0.7204786720334357,1.8272792315271769
12,22,0,25,0,12,17,23,14,21,3173,3312,0.7236374808249724,1.8404786720334356
13,14,0,22,0,15,10,29,13,84,3341,3534,0.7267566763680001,1.8536374808249723
14,19,0,28,0,14,11,57,17,21,3109,3284,0.7298369283838647,1.866756676368
15,15,1,16,0,11,10,24,12,25,2751,2870,0.7328788151893388,1.8798369283838647
16,17,0,19,0,12,9,25,16,39,2812,2956,0.7358828866055356,1.892878815189339
17,16,0,20,0,14,11,25,17,18,2818,2947,0.7388496792510637,1.9058828866055357
18,14,1,17,0,12,12,24,18,19,2761,2883,0.7417797202879991,1.9188496792510636
19,14,1,17,0,13,11,30,28,22,2880,3027,0.7446735283953665,1.931779720287999
20,17,0,18,0,15,16,71,29,53,3763,3992,0.7475316140838858,1.9446735283953667
21,21,0,45,0,16,17,32,32,31,3151,3376,0.7503544798560764,1.9575316140838859
22,18,0,19,0,17,14,32,29,26,3138,3298,0.7531426203306433,1.9703544798560766
23,14,0,17,0,13,14,33,59,19,3125,3311,0.7558965223588092,1.9831426203306435
24,15,1,16,0,16,20,33,25,28,2894,3058,0.7586166651388655,1.9958965223588094
25,15,0,19,0,12,13,33,19,23,2876,3014,0.7613035203302521,2.0086166651388653
26,16,0,22,0,16,18,28,25,138,2941,3208,0.7639575521673462,2.021303520330252
27,14,0,16,0,12,14,34,25,20,2852,2992,0.7665792175728952,2.033957552167346
28,13,0,20,0,13,15,30,23,102,3543,3762,0.7691689662709805,2.046579217572895
29,17,0,19,0,15,15,31,27,96,2892,3124,0.7717272408994004,2.0591689662709807
30,14,0,15,0,12,15,32,26,91,3690,3898,0.7742544771213646,2.0717272408994005
31,17,0,19,0,11,18,24,33,40,3699,3867,0.7767511037364074,2.0842544771213647
32,18,1,20,0,15,17,25,31,81,3168,3382,0.7792175427904312,2.0967511037364073
33,13,0,16,0,15,16,29,30,82,3056,3261,0.7816542096848039,2.1092175427904314
34,16,0,21,0,13,20,26,34,20,2911,3068,0.7840615132844408,2.121654209684804
35,17,1,17,0,13,19,28,35,25,3217,3378,0.786439856024808,2.1340615132844407
36,73,0,30,0,13,25,30,34,46,3771,4033,0.7887896340177944,2.146439856024808
37,18,0,61,0,18,21,31,34,24,3731,3970,0.7911112371564024,2.1587896340177943
38,28,0,18,0,13,34,26,35,127,4199,4493,0.7934050492182152,2.1711112371564023
39,22,0,29,0,16,22,33,40,200,3442,3814,0.7956714479676038,2.1834050492182153
40,21,0,20,0,13,22,28,62,19,4160,4375,0.7979108052566429,2.195671447967604
41,13,0,23,0,14,25,29,32,27,3660,3906,0.8001234871247052,2.2079108052566427
42,18,0,17,0,16,19,26,39,83,3702,3925,0.802309853896716,2.220123487124705
43,17,0,20,0,34,45,97,48,26,3889,4188,0.8044702602800453,2.232309853896716
44,17,0,33,0,20,38,58,55,26,3129,3397,0.8066050554600238,2.2444702602800453
45,18,0,17,0,12,31,63,45,23,3059,3276,0.8087145831940711,2.2566050554600237
46,19,0,19,0,12,24,26,38,39,3086,3273,0.8107991819044256,2.268714583194071
47,14,0,18,0,14,27,27,43,126,2877,3150,0.8128591847694734,2.2807991819044258
48,12,0,16,0,11,26,38,78,23,3095,3302,0.8148949198136686,2.2928591847694735
49,13,0,18,0,14,25,67,44,26,3654,3871,0.8169067099960473,2.304894919813669
50,18,0,31,0,19,27,93,51,22,3056,3348,0.8188948732973347,2.316906709996047
51,13,0,18,0,26,26,27,42,19,3651,3867,0.820859722805649,2.328894873297335
52,13,0,18,0,17,30,68,86,25,3542,3806,0.8228015668008073,2.3408597228056487
53,17,0,18,0,14,29,40,58,20,3552,3761,0.8247207088372382,2.3528015668008075
54,15,0,18,0,14,26,30,67,23,3774,3988,0.8266174478255119,2.3647207088372384
55,25,0,25,0,17,32,48,80,34,7003,7286,0.8284920781124938,2.3766174478255118
56,22,1,32,0,18,57,119,62,22,6537,6876,0.8303448895601356,2.3884920781124936
57,109,0,33,0,14,39,36,71,32,8692,9034,0.832176167622913,2.400344889560136
58,112,0,41,0,54,83,71,102,32,7626,8136,0.8339861934239219,2.412176167622913
59,73,1,47,0,28,94,55,186,28,3543,4062,0.8357752438296503,2.423986193423922
60,28,0,23,0,21,42,84,55,28,7213,7501,0.8375435915234354,2.4357752438296503
61,18,0,26,0,23,94,46,70,88,4471,4848,0.8392915050776238,2.4475435915234356
62,18,1,24,0,14,55,102,76,26,3921,4240,0.8410192490244498,2.4592915050776236
63,17,1,23,0,14,44,54,86,22,3578,3848,0.842727083925646,2.47101924902445
64,21,0,28,0,25,75,100,73,23,3991,4353,0.8444152664408049,2.4827270839256457
65,16,0,17,0,12,30,82,56,23,3335,3577,0.8460840493945068,2.494415266440805
66,47,0,29,0,12,48,84,59,26,3234,3549,0.8477336818422319,2.5060840493945067
67,21,1,27,0,16,38,88,61,32,3371,3662,0.8493644091350729,2.517733681842232
68,16,0,19,0,14,30,80,52,25,3513,3758,0.8509764729832677,2.5293644091350727
69,40,0,33,0,16,46,32,131,21,5138,5485,0.8525701115185673,2.540976472983268
70,27,0,27,0,22,35,50,120,27,4612,4943,0.8541455593554588,2.5525701115185675
71,14,0,18,0,12,31,84,58,23,3314,3558,0.8557030476512615,2.564145559355459
72,13,1,21,0,68,40,32,60,21,2997,3256,0.8572428041651119,2.5757030476512615
73,16,1,19,0,13,43,30,64,18,3128,3335,0.8587650533158602,2.5872428041651117
74,50,0,52,0,15,32,87,63,25,3185,3513,0.86027001623889,2.5987650533158604
75,14,0,18,0,21,33,85,61,19,3790,4045,0.861757910841885,2.61027001623889
76,17,0,94,0,19,53,94,68,25,3395,3778,0.8632289518595588,2.621757910841885
77,13,0,20,0,12,38,68,62,21,3115,3351,0.8646833509073631,2.633228951859559
78,15,1,19,0,12,35,72,62,20,2871,3112,0.866121316534197,2.6446833509073633
79,20,0,21,0,11,34,42,106,23,2867,3142,0.8675430542741299,2.656121316534197
80,20,0,28,0,78,42,29,61,20,2894,3175,0.868948766697161,2.66754305427413
81,18,0,23,0,30,39,29,65,23,3009,3284,0.8703386534590268,2.6789487666971614
82,13,0,17,0,35,40,29,66,20,2874,3141,0.8717129113500797,2.690338653459027
83,14,1,19,0,23,104,27,65,23,3626,3949,0.8730717343432494,2.7017129113500795
84,15,1,17,0,31,41,40,112,20,3079,3395,0.8744153136411102,2.7130717343432496
85,14,0,19,0,22,35,31,71,21,3118,3382,0.8757438377220631,2.72441531364111
86,14,0,23,0,35,45,28,73,19,2906,3181,0.8770574923856567,2.7357438377220626
87,17,0,19,0,14,42,26,64,24,3187,3400,0.8783564607970583,2.747057492385657
88,15,0,19,0,16,43,25,70,18,4815,5029,0.8796409235306938,2.7583564607970588
89,25,0,32,0,13,41,29,68,23,2959,3199,0.8809110586130701,2.7696409235306936
90,14,0,21,0,58,38,27,61,23,2987,3250,0.882167041564798,2.7809110586130696
91,17,0,28,0,15,37,27,66,23,2836,3054,0.8834090454418294,2.792167041564798
92,16,1,22,0,12,38,37,74,22,3040,3269,0.8846372408759247,2.8034090454418292
93,19,0,26,0,13,38,26,74,21,2845,3069,0.8858517961143638,2.8146372408759244
94,17,0,22,0,14,37,29,75,24,3181,3408,0.8870528770589187,2.825851796114364
95,19,0,21,0,33,40,26,71,21,2900,3164,0.8882406473040984,2.8370528770589187
96,20,1,26,0,13,43,29,103,32,2943,3220,0.8894152681746819,2.8482406473040984
97,17,1,17,0,14,33,27,68,38,2921,3142,0.8905768987625554,2.8594152681746823
98,25,1,24,0,13,39,25,78,29,3000,3242,0.891725695962863,2.8705768987625553
99,25,0,17,0,68,43,27,76,19,2941,3222,0.8928618145094875,2.881725695962863
100,14,0,23,0,12,41,41,86,22,2858,3102,0.8939854070098748,2.8928618145094878
