Step,Create Contribution On-Chain,Create Contribution Off-Chain,Assign Contribution On-Chain,Assign Contribution Off-Chain,Update Coordinates On-Chain,Update Coordinates Off-Chain,Review Contribution On-Chain,Review Contribution Off-Chain,ZKP Contracts On-Chain,ZKP Contracts Off-Chain,Total Time,Participant Reputation,Reputation x
1,34,0,25,0,13,67,30,3,19,3028,3221,-0.46211715726000974,-1.01
2,13,0,53,0,52,18,36,11,14,3519,3798,-0.6237125498258758,-1.4721171572600098
3,16,0,30,0,14,5,34,10,9,3013,3139,-0.6706129992209579,-1.6337125498258758
4,18,0,22,0,12,6,32,4,9,2953,3068,-0.6833150655037572,-1.6806129992209577
5,13,1,29,0,13,10,30,6,8,3900,4011,-0.6866860031892917,-1.6933150655037572
6,15,0,31,0,14,11,20,6,8,3122,3229,-0.6875756794432158,-1.6966860031892919
7,19,0,32,0,15,7,27,7,12,2997,3139,-0.6878101440283937,-1.697575679443216
8,13,0,26,0,100,16,30,25,10,6473,6696,-0.6878719107596765,-1.6978101440283937
9,19,0,72,1,13,15,34,7,8,4780,4957,-0.6878881807665608,-1.6978719107596765
10,28,1,100,0,13,10,28,10,7,3213,3414,-0.687892466342528,-1.6978881807665607
11,10,0,20,0,21,17,24,9,7,2710,2822,-0.687893595170048,-1.697892466342528
12,17,0,19,0,12,11,29,10,6,2785,2893,-0.687893892504457,-1.697893595170048
13,14,1,16,0,20,10,35,12,8,3583,3703,-0.6878939708226285,-1.6978938925044569
14,12,0,17,0,14,9,29,12,8,2789,2891,-0.6878939914517082,-1.6978939708226286
15,10,0,31,0,16,9,25,11,5,2907,3021,-0.6878939968854269,-1.6978939914517082
16,23,0,19,0,14,8,29,12,9,3243,3364,-0.6878939983166733,-1.697893996885427
17,13,0,24,0,12,10,34,15,5,3128,3244,-0.6878939986936651,-1.6978939983166732
18,15,0,29,0,12,9,29,16,5,3084,3203,-0.687893998792965,-1.697893998693665
19,11,0,24,0,13,11,25,13,10,2758,2872,-0.6878939988191206,-1.6978939987929649
20,10,0,23,0,17,13,29,17,7,4569,4689,-0.6878939988260101,-1.6978939988191206
21,14,0,21,0,24,12,27,16,5,4694,4815,-0.6878939988278248,-1.6978939988260102
22,17,0,17,0,14,11,81,28,5,3315,3492,-0.6878939988283027,-1.6978939988278245
23,17,0,25,0,20,13,34,18,10,2700,2845,-0.6878939988284287,-1.6978939988283028
24,14,0,19,0,11,11,33,17,10,2756,2876,-0.6878939988284618,-1.6978939988284285
25,15,0,20,0,15,13,26,24,5,2632,2755,-0.6878939988284706,-1.6978939988284618
26,11,0,16,0,12,11,30,23,6,2681,2797,-0.6878939988284728,-1.6978939988284705
27,18,0,24,0,13,11,23,20,86,2672,2871,-0.6878939988284735,-1.697893998828473
28,19,1,32,0,14,17,24,29,6,2872,3017,-0.6878939988284736,-1.6978939988284734
29,12,0,17,0,15,16,27,24,5,2909,3030,-0.6878939988284737,-1.6978939988284736
30,16,0,17,0,18,14,29,31,6,2953,3089,-0.6878939988284737,-1.6978939988284736
31,13,0,15,0,17,15,25,27,6,2690,2817,-0.6878939988284737,-1.6978939988284736
32,12,0,21,0,12,13,24,25,6,2793,2917,-0.6878939988284737,-1.6978939988284736
33,12,0,18,0,16,13,31,22,5,2698,2824,-0.6878939988284737,-1.6978939988284736
34,11,0,16,0,15,15,27,26,6,2792,2912,-0.6878939988284737,-1.6978939988284736
35,12,0,19,0,16,13,24,24,7,2732,2855,-0.6878939988284737,-1.6978939988284736
36,15,0,21,0,18,17,31,25,4,2683,2821,-0.6878939988284737,-1.6978939988284736
37,10,0,19,0,13,15,24,28,9,2680,2812,-0.6878939988284737,-1.6978939988284736
38,11,0,17,0,14,16,27,28,7,2678,2806,-0.6878939988284737,-1.6978939988284736
39,11,0,17,0,17,14,30,28,7,2660,2787,-0.6878939988284737,-1.6978939988284736
